Email,Contact Name,Phone Number,Residence Name,Organization Name,Stage,Location,County,NARR Level,Cert Date or Last Contact Date,Interviewer,unused,Notes
tmeinburg@stcroixojibwe-nsn.gov,Todd Meinburg,(715) 619-0015,AANJI-BIMAADIZIWIN HEALING CENTER,"Aanji-Bimaadiziwin Healing Center, St Croix Chippe",,TURTLE LAKE,BARRON,,,,,
serentityhousegb@gmail.com,Adam Brouchoud,(920) 489-2412,1254 SERENTIY HOUSE,"Serenity House Of Green Bay, Llc.",,GREEN BAY,BROWN,,,,,
mandolinfoundation@gmail.com,Paula Jolly,(920) 489-2070,AMANDAS HOUSE,Mandolin Foundation Llc,,GREEN BAY,BROWN,,,,,
jason@jackienitschkecenter.com,Jason W Latva,(920) 435-2093,CORNERSTONE RECOVERY HOME (MALE),Jackie Nitschke Center,,GREEN BAY,BROWN,,,,,
nicolea@darjune.org,Amanda Suthers,(920) 676-9697,DERGE MENS SOBER HEALTH,Darjune Foundation Inc,,GREEN BAY,BROWN,,,,,
jason@jackienitschkecenter.com,Jason W Latva,(920) 435-2093,FABRY RECOVERY HOME (FEMALE),Jackie Nitschke Center,,GREEN BAY,BROWN,,,,,
inngoodcare@gmail.com,Nuh Jama,(612) 296-2798,"GOOD CARE, INC.","Good Care, Inc.",,GREEN BAY,BROWN,,,,,
jason@jackienitschkecenter.com,Jason W Latva,(920) 435-2093,LYNDAHL RECOVERY HOME (FEMALE),Jackie Nitschke Center,,GREEN BAY,BROWN,,,,,
nicolea@darjune.org,Amanda L Suthers,(920) 676-9697,MITCHELL RANCK,Darjune Foundation Inc,,GREEN BAY,BROWN,,,,,
powerofrecovery4414@gmail.com,Whitney Sanapaw,(920) 371-1665,POWER OF PEACE HOUSING AND RECOVERY SERVICES,Power Of Peace,,GREEN BAY,BROWN,,,,,
nicolea@darjune.org,Amanda Suthers,(920) 676-9697,SPOEHR WOMENS SOBER HOUSE,Darjune Foundation Inc,,GREEN BAY,BROWN,,,,,
nicolea@drajune.org,Amanda Suthers,(920) 676-9697,TROY THOMAS RELAPSE AND RESPITE HOUSE,Darjune Foundation Inc,,GREEN BAY,BROWN,,,,,
info@pathwaystoabetterlife.com,Susan Beattie,(920) 894-1374,PATHWAYS SOBER LIVING - MEN,Pathways To A Better Life,,NEW HOLSTEIN,CALUMET,,,,,
bgraham@rivercityrecovery.life,Benjamin H Graham,(608) 354-9538,RIVER CITY RECOVERY 1,River City Recovery,,PORTAGE,COLUMBIA,,,,,
bgraham@rivercityrecovery.Iife,Benjamin Graham,(608) 354-9538,RIVER CITY RECOVERY 2,River City Recovery,,PORTAGE,COLUMBIA,,,,,
bgraham@rivercityrecovery.Iife,Benjamin Graham,(608) 354-9538,RIVER CITY RECOVERY 3,River City Recovery,,PORTAGE,COLUMBIA,,,,,
amaly@tellurian.org,Kevin Florek,(608) 222-7311,CHANDRAS HOUSE OF HOPE,Tellurian Inc,,MADISON,DANE,,,,,
havey@oxfordhouse.us,Michael Turell,(608) 230-5533,HAVEY OXFORD HOUSE,Oxford House Inc.,,MADISON,DANE,,,,,
amaly@tellurian.org,Kevin Florek,(608) 222-7311,JEREMYS PLACE,Tellurian Inc,,MADISON,DANE,,,,,
jcrc.james@yahoo.com,James Crawford,(608) 241-4285,JESSIE CRAWFORD RECOVERY CENTER 1,Jessie Crwford Recovery Center Inc,,MADISON,DANE,,,,,
jcrc.james@yahoo.com,James Crawford,(608) 241-4285,JESSIE CRAWFORD RECOVERY CENTER FOR WOMEN,Jessie Crawford Recovery Center Inc,,MADISON,DANE,,,,,
jcrc.james@yahoo.com,James Crawford,(608) 241-4285,JESSIE CRAWFORD RECOVERY CENTER INC 3,Jessie Crawford Recovery Center Inc,,MADISON,DANE,,,,,
jcrd.james@yahoo.com,James Crawford,(608) 241-4285,JESSIE CRAWFORD RECOVERY CENTER INC 4,Jessie Crawford Recovery Center Inc,,MADISON,DANE,,,,,
ginger@preshouse.org,Ginger Morgan,(608) 257-1030,NEXT STEP SOBER LIVING AT PRES HOUSE APARTMENTS,Presbyterian Student Center Foundation (Pres House,,MADISON,DANE,,,,,
northside@oxfordhouse.us,Jessica Lynn Jarvis,(608) 298-7588,NORTHSIDE OXFORD HOUSE,Oxford House Inc.,,MADISON,DANE,,,,,
